0	0.758779
0	-1,0.758835,1,15,66,96
0	-1,0.758835,1,15,66,96
0	-1,0.758835,1,15,66,96
0	-1,0.758835,1,15,66,96
1	1.253072
1	16,1.253175,37,72
1	16,1.253175,37,72
10	0.901947
10	-1,0.902017,4,6,38,67,78,80
10	-1,0.902017,4,6,38,67,78,80
10	-1,0.902017,4,6,38,67,78,80
10	-1,0.902017,4,6,38,67,78,80
10	-1,0.902017,4,6,38,67,78,80
10	-1,0.902017,4,6,38,67,78,80
11	0.659810
11	-1,0.659860,6,28,40,49,51,67,89
11	-1,0.659860,6,28,40,49,51,67,89
11	-1,0.659860,6,28,40,49,51,67,89
11	-1,0.659860,6,28,40,49,51,67,89
11	-1,0.659860,6,28,40,49,51,67,89
11	-1,0.659860,6,28,40,49,51,67,89
11	-1,0.659860,6,28,40,49,51,67,89
12	-1,1.013074,24,28,50,55,67,85,98
12	-1,1.013074,24,28,50,55,67,85,98
12	-1,1.013074,24,28,50,55,67,85,98
12	-1,1.013074,24,28,50,55,67,85,98
12	-1,1.013074,24,28,50,55,67,85,98
12	-1,1.013074,24,28,50,55,67,85,98
12	-1,1.013074,24,28,50,55,67,85,98
12	1.013000
13	0.917524
13	-1,0.917593,25,32,33,35,76
13	-1,0.917593,25,32,33,35,76
13	-1,0.917593,25,32,33,35,76
13	-1,0.917593,25,32,33,35,76
13	-1,0.917593,25,32,33,35,76
14	0.332604
14	-1,0.332619,36,39,44,62,98
14	-1,0.332619,36,39,44,62,98
14	-1,0.332619,36,39,44,62,98
14	-1,0.332619,36,39,44,62,98
14	-1,0.332619,36,39,44,62,98
15	1.235425
15	17,1.235525,47,70,79,95,97
15	17,1.235525,47,70,79,95,97
15	17,1.235525,47,70,79,95,97
15	17,1.235525,47,70,79,95,97
15	17,1.235525,47,70,79,95,97
16	0.642033
16	-1,0.642080,45,52,67,80
16	-1,0.642080,45,52,67,80
16	-1,0.642080,45,52,67,80
16	-1,0.642080,45,52,67,80
17	0.558371
17	-1,0.558407,18,39,41,53,63,72,79,99
17	-1,0.558407,18,39,41,53,63,72,79,99
17	-1,0.558407,18,39,41,53,63,72,79,99
17	-1,0.558407,18,39,41,53,63,72,79,99
17	-1,0.558407,18,39,41,53,63,72,79,99
17	-1,0.558407,18,39,41,53,63,72,79,99
17	-1,0.558407,18,39,41,53,63,72,79,99
17	-1,0.558407,18,39,41,53,63,72,79,99
18	1.130370
18	26,1.130455,52,61,62,87
18	26,1.130455,52,61,62,87
18	26,1.130455,52,61,62,87
18	26,1.130455,52,61,62,87
19	0.895734
19	-1,0.895804,27,33,37,45,92
19	-1,0.895804,27,33,37,45,92
19	-1,0.895804,27,33,37,45,92
19	-1,0.895804,27,33,37,45,92
19	-1,0.895804,27,33,37,45,92
2	-1,1.027639,31,63
2	-1,1.027639,31,63
2	1.027559
20	1.179442
20	23,1.179538,7,94
20	23,1.179538,7,94
21	1,9.205394
21	9.215692
22	1.066479
22	30,1.066563,25,65,72,83,97
22	30,1.066563,25,65,72,83,97
22	30,1.066563,25,65,72,83,97
22	30,1.066563,25,65,72,83,97
22	30,1.066563,25,65,72,83,97
23	0.577926
23	-1,0.577965,92,99
23	-1,0.577965,92,99
24	-1,1.034200,9,10,18,38,55,93,94
24	-1,1.034200,9,10,18,38,55,93,94
24	-1,1.034200,9,10,18,38,55,93,94
24	-1,1.034200,9,10,18,38,55,93,94
24	-1,1.034200,9,10,18,38,55,93,94
24	-1,1.034200,9,10,18,38,55,93,94
24	-1,1.034200,9,10,18,38,55,93,94
24	1.034122
25	0.823914
25	-1,0.823974,63
26	0.857119
26	-1,0.857186,15,23,28,64
26	-1,0.857186,15,23,28,64
26	-1,0.857186,15,23,28,64
26	-1,0.857186,15,23,28,64
27	1.354857
27	11,1.354965,32,68,70,92
27	11,1.354965,32,68,70,92
27	11,1.354965,32,68,70,92
27	11,1.354965,32,68,70,92
28	0.892656
28	-1,0.892724,21,25,72
28	-1,0.892724,21,25,72
28	-1,0.892724,21,25,72
29	0.876223
29	-1,0.876293,18,23,31,36,86
29	-1,0.876293,18,23,31,36,86
29	-1,0.876293,18,23,31,36,86
29	-1,0.876293,18,23,31,36,86
29	-1,0.876293,18,23,31,36,86
3	0.752114
3	-1,0.752173,30,42,45,86
3	-1,0.752173,30,42,45,86
3	-1,0.752173,30,42,45,86
3	-1,0.752173,30,42,45,86
30	0.882392
30	-1,0.882460,80,84,95
30	-1,0.882460,80,84,95
30	-1,0.882460,80,84,95
31	2,2.182892,29,36,46,49,54,62,70,85
31	2,2.182892,29,36,46,49,54,62,70,85
31	2,2.182892,29,36,46,49,54,62,70,85
31	2,2.182892,29,36,46,49,54,62,70,85
31	2,2.182892,29,36,46,49,54,62,70,85
31	2,2.182892,29,36,46,49,54,62,70,85
31	2,2.182892,29,36,46,49,54,62,70,85
31	2,2.182892,29,36,46,49,54,62,70,85
31	2.182702
32	0.996914
32	-1,0.996991,2,3,6,27,47,69,71,91
32	-1,0.996991,2,3,6,27,47,69,71,91
32	-1,0.996991,2,3,6,27,47,69,71,91
32	-1,0.996991,2,3,6,27,47,69,71,91
32	-1,0.996991,2,3,6,27,47,69,71,91
32	-1,0.996991,2,3,6,27,47,69,71,91
32	-1,0.996991,2,3,6,27,47,69,71,91
32	-1,0.996991,2,3,6,27,47,69,71,91
33	-1,1.012619,2,56,58,86
33	-1,1.012619,2,56,58,86
